date,buy_balance,sell_balance
2026-01-09,338000,48300
2026-01-16,333600,4400
2026-01-23,362900,29300
2026-01-30,335600,27300
2026-02-06,385100,49500
2026-02-13,355000,30100
2026-02-20,347900,7100
2026-02-27,405200,57300
2026-03-06,1471600,1066400
2026-03-13,3986000,2514400
2026-03-20,577500,3408500
2026-03-27,580000,2500
2026-04-03,454000,126000
2026-04-10,579400,125400
2026-04-17,584100,4700
2026-04-24,593900,9800
2026-05-01,644100,50200
2026-05-15,947500,303400
2026-05-22,814000,133500
2026-05-29,772600,41400
