date,buy_balance,sell_balance
2026-01-09,3777200,814300
2026-01-16,4147600,370400
2026-01-23,3494800,652800
2026-01-30,3201900,292900
2026-02-06,3143200,58700
2026-02-13,3418400,275200
2026-02-20,3107600,310800
2026-02-27,3272500,164900
2026-03-06,2853200,419300
2026-03-13,2431700,421500
2026-03-20,2581200,149500
2026-03-27,3097700,516500
2026-04-03,2372600,725100
2026-04-10,2206400,166200
2026-04-17,2232200,25800
2026-04-24,1516600,715600
2026-05-01,2041200,524600
2026-05-15,3085000,1043800
2026-05-22,2960400,124600
2026-05-29,2996600,36200
