date,buy_balance,sell_balance
2026-01-09,1229800,184600
2026-01-16,1456300,226500
2026-01-23,1377500,78800
2026-01-30,1403800,26300
2026-02-06,1635000,231200
2026-02-13,1674200,39200
2026-02-20,1471600,202600
2026-02-27,1655800,184200
2026-03-06,1189100,466700
2026-03-13,1449800,260700
2026-03-20,2361600,911800
2026-03-27,1862000,499600
2026-04-03,961900,900100
2026-04-10,907000,54900
2026-04-17,870100,36900
2026-04-24,911200,41100
2026-05-01,966000,54800
2026-05-15,1229400,263400
2026-05-22,1092800,136600
2026-05-29,1023300,69500
