date,buy_balance,sell_balance
2026-01-09,509900,109800
2026-01-16,450000,59900
2026-01-23,287600,162400
2026-01-30,266300,21300
2026-02-06,168400,97900
2026-02-13,177700,9300
2026-02-20,201400,23700
2026-02-27,243500,42100
2026-03-06,216800,26700
2026-03-13,125700,91100
2026-03-20,122300,3400
2026-03-27,377300,255000
2026-04-03,173900,203400
2026-04-10,177400,3500
2026-04-17,294600,117200
2026-04-24,280200,14400
2026-05-01,179700,100500
2026-05-15,204600,24900
2026-05-22,447200,242600
2026-05-29,658300,211100
