date,buy_balance,sell_balance
2026-01-09,315500,150100
2026-01-16,384600,69100
2026-01-23,333800,50800
2026-01-30,1132200,798400
2026-02-06,9145700,8013500
2026-02-13,1279600,7866100
2026-02-20,491400,788200
2026-02-27,505300,13900
2026-03-06,422400,82900
2026-03-13,487400,65000
2026-03-20,451700,35700
2026-03-27,704400,252700
2026-04-03,373000,331400
2026-04-10,374100,1100
2026-04-17,466600,92500
2026-04-24,403100,63500
2026-05-01,557400,154300
2026-05-15,461500,95900
2026-05-22,394600,66900
2026-05-29,488800,94200
