date,buy_balance,sell_balance
2026-01-09,4542900,1430100
2026-01-16,6741700,2198800
2026-01-23,4721800,2019900
2026-01-30,4122500,599300
2026-02-06,3829000,293500
2026-02-13,4091300,262300
2026-02-20,3571800,519500
2026-02-27,3429400,142400
2026-03-06,2775300,654100
2026-03-13,3023700,248400
2026-03-20,2509600,514100
2026-03-27,2824300,314700
2026-04-03,2696100,128200
2026-04-10,2456200,239900
2026-04-17,2004500,451700
2026-04-24,1937100,67400
2026-05-01,1625500,311600
2026-05-15,1922800,297300
2026-05-22,2572900,650100
2026-05-29,2196100,376800
