date,buy_balance,sell_balance
2026-01-09,5348700,488100
2026-01-16,4602400,746300
2026-01-23,3875400,727000
2026-01-30,3143000,732400
2026-02-06,2878600,264400
2026-02-13,3094700,216100
2026-02-20,3562100,467400
2026-02-27,2490300,1071800
2026-03-06,2241200,249100
2026-03-13,3539700,1298500
2026-03-20,7234700,3695000
2026-03-27,23629700,16395000
2026-04-03,12851900,10777800
2026-04-10,3385400,9466500
2026-04-17,3110600,274800
2026-04-24,3083500,27100
2026-05-01,2016600,1066900
2026-05-15,2970800,954200
2026-05-22,3602300,631500
2026-05-29,6668200,3065900
